OBJECTID_1,State,CIS_Name,Name_Short,ST_Fips,CID,COUNTY_CIS
168,Maine,"T11 R17 Wels, Township Of",T11 R17 WELS,23,230528,Aroostook County
169,Maine,"T11 R15 Wels, Township Of",T11 R15 WELS,23,230794,Aroostook County
170,Maine,"T11 R14 Wels, Township Of",Clayton Lake Twp,23,230527,Aroostook County
171,Maine,"T11 R04 Wels, Township Of",T11 R4 WELS,23,230526,Aroostook County
172,Maine,"T11 R13 Wels, Township Of",T11 R13 WELS,23,230793,Aroostook County
173,Maine,"T11 R12 Wels, Township Of",T11 R12 WELS,23,230792,Aroostook County
174,Maine,"T11 R09 Wels, Township Of",T11 R9 WELS,23,230789,Aroostook County
175,Maine,"T11 R11 Wels, Township Of",T11 R11 WELS,23,230791,Aroostook County
176,Maine,"T11 R10 Wels, Township Of",T11 R10 WELS,23,230790,Aroostook County
177,Maine,"T11 R07 Wels, Township Of",T11 R7 WELS,23,230787,Aroostook County
178,Maine,"Big Ten T10 R17 Wels, Township Of",Big Ten Twp,23,230719,Somerset County
179,Maine,"T10 R16 Wels, Township Of",T10 R16 WELS,23,230878,Somerset County
180,Maine,"T10 R15 Wels, Township Of",T10 R15 WELS,23,230873,Piscataquis County
181,Maine,"T10 R14 Wels, Township Of",T10 R14 WELS,23,230872,Piscataquis County
182,Maine,"T10 R13 Wels, Township Of",T10 R13 WELS,23,230871,Piscataquis County
183,Maine,"T10 R12 Wels, Township Of",T10 R12 WELS,23,230870,Piscataquis County
184,Maine,"T10 R11 Wels, Township Of",T10 R11 WELS,23,230687,Piscataquis County
185,Maine,"T10 R09 Wels, Township Of",T10 R9 WELS,23,230685,Piscataquis County
186,Maine,"T10 R03 Wels, Township Of",T10 R3 WELS,23,230783,Aroostook County
187,Maine,"Squapan T10 R04 Wels, Township Of",Scopan Twp,23,230767,Aroostook County
188,Maine,"T10 R06 Wels, Township Of",T10 R6 WELS,23,230784,Aroostook County
189,Maine,"T10 R07 Wels, Township Of",T10 R7 WELS,23,230785,Aroostook County
