Country,BeverageTypes,year,alcohol_per_capita_in_litres
Chile,All types,2007,7.39
Chile,Beer,2007,2.34
Chile,Wine,2007,2.83
Chile,Spirits,2007,2.22
Denmark,All types,2007,10.99
Denmark,Beer,2007,4.77
Denmark,Wine,2007,4.41
Denmark,Spirits,2007,1.74
Germany,All types,2007,11.5
Germany,Beer,2007,6.27
Germany,Wine,2007,3.14
Germany,Spirits,2007,2.09
Ireland,All types,2007,13.59
Ireland,Beer,2007,6.74
Ireland,Wine,2007,2.93
Ireland,Spirits,2007,2.73
New Zealand,All types,2007,9.19
New Zealand,Beer,2007,3.94
New Zealand,Wine,2007,3.05
New Zealand,Spirits,2007,1.1
Switzerland,All types,2007,10.44
Switzerland,Beer,2007,3.32
Switzerland,Wine,2007,5.1
Switzerland,Spirits,2007,1.9
United Kingdom,All types,2007,11.84
United Kingdom,Beer,2007,4.45
United Kingdom,Wine,2007,4.24
United Kingdom,Spirits,2007,2.35
USA,All types,2007,8.74
USA,Beer,2007,4.54
USA,Wine,2007,1.44
USA,Spirits,2007,2.76
Australia,All types,2006,10.31
Australia,Beer,2006,4.63
Australia,Wine,2006,3.53
Australia,Spirits,2006,1.16
Austria,All types,2006,12.4
Austria,Beer,2006,6.7
Austria,Wine,2006,4.2
Austria,Spirits,2006,1.5
Belgium,All types,2006,10.98
Belgium,Beer,2006,5.61
Belgium,Wine,2006,4.37
Belgium,Spirits,2006,0.99
Brazil,All types,2006,7.1
Brazil,Beer,2006,3.56
Brazil,Wine,2006,0.41
Brazil,Spirits,2006,3.09
Canada,All types,2006,8.2
Canada,Beer,2006,4.2
Canada,Wine,2006,1.7
Canada,Spirits,2006,2.1
Chile,All types,2006,7.33
Chile,Beer,2006,2.26
Chile,Wine,2006,2.22
Chile,Spirits,2006,2.85
Denmark,All types,2006,11.02
Denmark,Beer,2006,4.92
Denmark,Wine,2006,4.34
Denmark,Spirits,2006,1.69
Germany,All types,2006,11.76
Germany,Beer,2006,6.52
Germany,Wine,2006,3.03
Germany,Spirits,2006,2.21
Ireland,All types,2006,13.44
Ireland,Beer,2006,6.87
Ireland,Wine,2006,2.77
Ireland,Spirits,2006,2.58
New Zealand,All types,2006,9.34
New Zealand,Beer,2006,3.94
New Zealand,Wine,2006,3.14
New Zealand,Spirits,2006,1.35
Switzerland,All types,2006,10.24
Switzerland,Beer,2006,3.21
Switzerland,Wine,2006,5
Switzerland,Spirits,2006,1.9
United Kingdom,All types,2006,11.61
United Kingdom,Beer,2006,4.7
United Kingdom,Wine,2006,3.9
United Kingdom,Spirits,2006,2.25
USA,All types,2006,8.63
USA,Beer,2006,4.54
USA,Wine,2006,1.4
USA,Spirits,2006,2.69
Australia,All types,2005,10.3
Australia,Beer,2005,4.62
Australia,Wine,2005,3.53
Australia,Spirits,2005,1.21
Austria,All types,2005,12.4
Austria,Beer,2005,6.07
Austria,Wine,2005,4.1
Austria,Spirits,2005,1.6
Belgium,All types,2005,12.27
Belgium,Beer,2005,6.07
Belgium,Wine,2005,4.22
Belgium,Spirits,2005,1.98
Brazil,All types,2005,6.97
Brazil,Beer,2005,3.36
Brazil,Wine,2005,0.5
Brazil,Spirits,2005,3.08
Canada,All types,2005,8
Canada,Beer,2005,4.2
Canada,Wine,2005,1.6
Canada,Spirits,2005,2
Chile,All types,2005,7.57
Chile,Beer,2005,2.01
Chile,Wine,2005,2.59
Chile,Spirits,2005,2.97
Denmark,All types,2005,11.28
Denmark,Beer,2005,5.06
Denmark,Wine,2005,4.44
Denmark,Spirits,2005,1.78
Germany,All types,2005,11.67
Germany,Beer,2005,6.42
Germany,Wine,2005,3.03
Germany,Spirits,2005,2.22
Ireland,All types,2005,13.31
Ireland,Beer,2005,6.99
Ireland,Wine,2005,2.62
Ireland,Spirits,2005,2.5
New Zealand,All types,2005,9.31
New Zealand,Beer,2005,4.1
New Zealand,Wine,2005,3.04
New Zealand,Spirits,2005,1.37
Switzerland,All types,2005,10.15
Switzerland,Beer,2005,3.11
Switzerland,Wine,2005,5.14
Switzerland,Spirits,2005,1.79
United Kingdom,All types,2005,12.05
United Kingdom,Beer,2005,4.85
United Kingdom,Wine,2005,4.1
United Kingdom,Spirits,2005,2.45
USA,All types,2005,8.52
USA,Beer,2005,4.5
USA,Wine,2005,1.36
USA,Spirits,2005,2.65
Australia,All types,2004,9.84
Australia,Beer,2004,4.57
Australia,Wine,2004,3.13
Australia,Spirits,2004,1.2
Austria,All types,2004,12.1
Austria,Beer,2004,6.7
Austria,Wine,2004,3.8
Austria,Spirits,2004,1.6
Belgium,All types,2004,12.05
Belgium,Beer,2004,5.95
Belgium,Wine,2004,4.26
Belgium,Spirits,2004,1.84
Brazil,All types,2004,6.85
Brazil,Beer,2004,3.22
Brazil,Wine,2004,0.4
Brazil,Spirits,2004,3.19
Canada,All types,2004,7.8
Canada,Beer,2004,4.2
Canada,Wine,2004,1.5
Canada,Spirits,2004,2.1
Chile,All types,2004,6.32
Chile,Beer,2004,1.83
Chile,Wine,2004,2.54
Chile,Spirits,2004,1.95
Denmark,All types,2004,11.27
Denmark,Beer,2004,5.1
Denmark,Wine,2004,4.32
Denmark,Spirits,2004,1.85
Germany,All types,2004,11.83
Germany,Beer,2004,6.29
Germany,Wine,2004,3.06
Germany,Spirits,2004,2.48
Ireland,All types,2004,13.32
Ireland,Beer,2004,7.1
Ireland,Wine,2004,2.57
Ireland,Spirits,2004,2.48
New Zealand,All types,2004,9.15
New Zealand,Beer,2004,4.11
New Zealand,Wine,2004,2.85
New Zealand,Spirits,2004,1.45
Switzerland,All types,2004,10.55
Switzerland,Beer,2004,3.24
Switzerland,Wine,2004,5.27
Switzerland,Spirits,2004,1.92
United Kingdom,All types,2004,12.22
United Kingdom,Beer,2004,5.09
United Kingdom,Wine,2004,3.98
United Kingdom,Spirits,2004,2.51
USA,All types,2004,8.48
USA,Beer,2004,4.58
USA,Wine,2004,1.32
USA,Spirits,2004,2.57
Australia,All types,2003,9.97
Australia,Beer,2003,4.96
Australia,Wine,2003,3
Australia,Spirits,2003,2.01
Austria,All types,2003,12.2
Austria,Beer,2003,6.4
Austria,Wine,2003,4.1
Austria,Spirits,2003,1.7
Belgium,All types,2003,11.28
Belgium,Beer,2003,6.14
Belgium,Wine,2003,4.06
Belgium,Spirits,2003,1.07
Brazil,All types,2003,6.95
Brazil,Beer,2003,3.18
Brazil,Wine,2003,0.4
Brazil,Spirits,2003,3.36
Canada,All types,2003,7.7
Canada,Beer,2003,4.2
Canada,Wine,2003,1.5
Canada,Spirits,2003,2.1
