cartodb_id,the_geom,id,state,state_abbr,name,trump,clinton
388,,900958300,Connecticut,CT,Oxford,4685,2398
389,,901559980,Connecticut,CT,Plainfield,3512,2177
390,,900360120,Connecticut,CT,Plainville,4492,3802
391,,900560750,Connecticut,CT,Plymouth,3767,1884
392,,901561030,Connecticut,CT,Pomfret,1013,1070
393,,900761800,Connecticut,CT,Portland,2491,2493
394,,901162150,Connecticut,CT,Preston,1377,978
395,,900962290,Connecticut,CT,Prospect,3701,1661
396,,901562710,Connecticut,CT,Putnam,1845,1562
397,,900163480,Connecticut,CT,Redding,2088,3127
398,,900163970,Connecticut,CT,Ridgefield,5673,7907
399,,900365370,Connecticut,CT,Rocky Hill,4331,5090
400,,900565930,Connecticut,CT,Roxbury,638,765
401,,901166210,Connecticut,CT,Salem,1182,1029
402,,900566420,Connecticut,CT,Salisbury,545,1671
403,,901567400,Connecticut,CT,Scotland,518,310
404,,900967610,Connecticut,CT,Seymour,4439,2777
405,,900567960,Connecticut,CT,Sharon,521,820
406,,900168170,Connecticut,CT,Shelton,12051,8001
407,,900168310,Connecticut,CT,Sherman,1065,976
408,,900368940,Connecticut,CT,Simsbury,5357,7825
409,,901369220,Connecticut,CT,Somers,3350,2125
410,,900969640,Connecticut,CT,Southbury,6010,5013
411,,900370550,Connecticut,CT,Southington,12383,9890
412,,900371390,Connecticut,CT,South Windsor,6449,7717
413,,901171670,Connecticut,CT,Sprague,864,535
414,,901372090,Connecticut,CT,Stafford,3344,2286
415,,900173070,Connecticut,CT,Stamford,16223,34148
416,,901573420,Connecticut,CT,Sterling,1102,478
417,,901173770,Connecticut,CT,Stonington,4081,5635
418,,900174190,Connecticut,CT,Stratford,10534,13729
419,,900374540,Connecticut,CT,Suffield,3789,3334
420,,900575730,Connecticut,CT,Thomaston,2616,1152
421,,901575870,Connecticut,CT,Thompson,2646,1579
422,,901376290,Connecticut,CT,Tolland,3908,4020
423,,900576570,Connecticut,CT,Torrington,8673,5713
424,,900177200,Connecticut,CT,Trumbull,9744,9292
425,,901377830,Connecticut,CT,Union,277,188
426,,901378250,Connecticut,CT,Vernon,5666,7084
427,,901178600,Connecticut,CT,Voluntown,862,431
428,,900978740,Connecticut,CT,Wallingford,10940,10651
429,,900579510,Connecticut,CT,Warren,451,352
430,,900579720,Connecticut,CT,Washington,738,1242
431,,900980070,Connecticut,CT,Waterbury,12836,19866
432,,901180280,Connecticut,CT,Waterford,4861,5233
433,,900580490,Connecticut,CT,Watertown,7730,3732
434,,900781680,Connecticut,CT,Westbrook,1936,1699
435,,900382590,Connecticut,CT,West Hartford,7131,20215
436,,900982870,Connecticut,CT,West Haven,7774,12477
