location,lat,long,score
"Waffle House-Smyrna,DE",39.285058,-75.593069,2
"Waffle House-Alachua,FL",29.800604,-82.508011,7
"Waffle House-Altamonte Springs,FL",28.665056,-81.39035,6
"Waffle House-Apopka,FL",28.673112,-81.506615,5
"Waffle House-Baldwin,FL",30.282579,-81.983651,10
"Waffle House-Bonifay,FL",30.766325,-85.68416,2
"Waffle House-Bonita Springs,FL",26.330827,-81.751828,7
"Waffle House-Bradenton,FL",27.49458,-82.475976,2
"Waffle House-Brandon,FL",27.937828,-82.304693,2
"Waffle House-Brandon,FL",27.923369,-82.314878,6
"Waffle House-Brooksville,FL",28.523223,-82.234071,8
"Waffle House-Callaway,FL",30.153305,-85.591049,10
"Waffle House-Cantonment,FL",30.57802,-87.294787,6
"Waffle House-Casselberry,FL",28.6578691,-81.336198,3
"Waffle House-Chipley,FL",30.752127,-85.550689,3
"Waffle House-Clermont,FL",28.5468283,-81.7100061,5
"Waffle House-Clermont,FL",28.3580659,-81.6770679,6
"Waffle House-Cocoa Beach,FL",28.352436,-80.608728,3
"Waffle House-Cocoa,FL",28.359732,-80.792962,3
"Waffle House-Crestview,FL",30.762406,-86.576265,3
"Waffle House-Crestview,FL",30.722247,-86.569207,5
"Waffle House-Davenport,FL",28.236687,-81.652238,4
"Waffle House-Daytona Beach,FL",29.200093,-81.041995,8
"Waffle House-Defuniak Springs,FL",30.695283,-86.121976,5
"Waffle House-Deltona,FL",28.873071,-81.279778,2
"Waffle House-Destin,FL",30.386423,-86.468306,3
"Waffle House-Destin,FL",30.388171,-86.419963,2
"Waffle House-Destin,FL",30.394752,-86.507491,8
"Waffle House-Ellenton,FL",27.52725,-82.512895,7
"Waffle House-Fort Lauderdale,FL",26.089899,-80.227878,8
"Waffle House-Fort Lauderdale,FL",26.186643,-80.155108,7
"Waffle House-Fort Myers,FL",26.684437,-81.796317,4
"Waffle House-Fort Myers,FL",26.546882,-81.799256,1
"Waffle House-Ft Pierce,FL",27.417424,-80.384063,3
"Waffle House-Ft Pierce,FL",27.412857,-80.397843,3
"Waffle House-Ft Walton Beach,FL",30.466905,-86.64357,5
"Waffle House-Ft Walton Beach,FL",30.403314,-86.603436,8
"Waffle House-Ft Walton Beach,FL",30.406499,-86.632928,7
"Waffle House-Ft Walton Beach,FL",30.441665,-86.598621,9
"Waffle House-Gainesville,FL",29.618072,-82.383187,10
"Waffle House-Gainesville,FL",29.7017879,-82.3424911,8
"Waffle House-Gainesville,FL",29.659641,-82.424093,8
"Waffle House-Gulf Breeze,FL",30.387257,-87.084573,2
"Waffle House-Gulf Breeze,FL",30.357745,-87.164452,1
"Waffle House-Jacksonville Beach,FL",30.288292,-81.392701,3
"Waffle House-Jacksonville,FL",30.323777,-81.529995,6
"Waffle House-Jacksonville,FL",30.4819,-81.647309,1
"Waffle House-Jacksonville,FL",30.4486024,-81.7038585,4
"Waffle House-Jacksonville,FL",30.2879092,-81.4500142,7
"Waffle House-Jacksonville,FL",30.286035,-81.720164,8
"Waffle House-Jacksonville,FL",30.245403,-81.598487,8
"Waffle House-Jacksonville,FL",30.42995,-81.6542,6
"Waffle House-Jacksonville,FL",30.335796,-81.759187,7
"Waffle House-Jacksonville,FL",30.299902,-81.7660253,1
"Waffle House-Jacksonville,FL",30.3521032,-81.5697748,2
"Waffle House-Jacksonville,FL",30.2480657,-81.77856,1
"Waffle House-Key Largo,FL",25.100448,-80.434188,7
"Waffle House-Kissimmee,FL",28.305834,-81.416105,1
"Waffle House-Kissimmee,FL",28.325746,-81.470163,7
"Waffle House-Kissimmee,FL",28.332988,-81.499902,2
"Waffle House-Kissimmee,FL",28.333133,-81.524254,7
"Waffle House-Lake City,FL",30.180269,-82.681101,4
"Waffle House-Lake City,FL",30.179523,-82.691869,8
"Waffle House-Lakeland,FL",28.083377,-81.96844,8
"Waffle House-Lakeland,FL",28.095524,-81.952201,2
"Waffle House-Leesburg,FL",28.8266,-81.79903,2
"Waffle House-Live Oak,FL",30.327965,-82.964655,8
"Waffle House-Lynn Haven,FL",30.219613,-85.649506,4
"Waffle House-Macclenny,FL",30.262194,-82.122854,8
"Waffle House-Madison,FL",30.397625,-83.357252,5
"Waffle House-Marianna,FL",30.725986,-85.185537,7
"Waffle House-Marianna,FL",30.781879,-85.245881,6
"Waffle House-Mary Esther,FL",30.411824,-86.743266,5
"Waffle House-Melbourne,FL",28.078875,-80.704529,7
"Waffle House-Midway,FL",30.485879,-84.425322,3
"Waffle House-Milton,FL",30.531423,-87.087162,5
"Waffle House-Milton,FL",30.619504,-87.049766,1
"Waffle House-Milton,FL",30.621199,-86.965594,2
"Waffle House-Miramar Beach,FL",30.376101,-86.350408,5
"Waffle House-Mount Dora,FL",28.823555,-81.645895,3
"Waffle House-Naples,FL",26.155672,-81.684913,4
"Waffle House-Naples,FL",26.210558,-81.740878,6
"Waffle House-Navarre,FL",30.401588,-86.863805,5
"Waffle House-New Port Richey,FL",28.253561,-82.7276288,6
"Waffle House-Niceville,FL",30.482583,-86.415249,2
"Waffle House-Niceville,FL",30.519575,-86.481916,3
"Waffle House-Ocala,FL",29.025646,-82.160682,6
"Waffle House-Ocala,FL",29.186684,-82.1787107,9
"Waffle House-Ocala,FL",29.147606,-82.187891,5
"Waffle House-Ocala,FL",29.186663,-82.187211,7
"Waffle House-Orange Park,FL",30.188673,-81.702993,5
"Waffle House-Orange Park,FL",30.1644897,-81.7476501,5
"Waffle House-Orlando,FL",28.567051,-81.208655,8
"Waffle House-Orlando,FL",28.379881,-81.504927,2
"Waffle House-Orlando,FL",28.451037,-81.357348,6
"Waffle House-Orlando,FL",28.5204906,-81.3097458,8
"Waffle House-Orlando,FL",28.484884,-81.459006,6
"Waffle House-Orlando,FL",28.552072,-81.475423,3
"Waffle House-Orlando,FL",28.436593,-81.404468,7
"Waffle House-Ormond Beach,FL",29.334667,-81.12962,6
"Waffle House-Pace,FL",30.594022,-87.178171,2
"Waffle House-Pace,FL",30.603493,-87.120018,3
"Waffle House-Palm Bay,FL",27.998563,-80.633675,7
"Waffle House-Panama City Beach,FL",30.177942,-85.805421,2
"Waffle House-Panama City Beach,FL",30.183781,-85.817374,5
"Waffle House-Panama City Beach,FL",30.195471,-85.80976,3
"Waffle House-Panama City Beach,FL",30.230613,-85.889029,7
"Waffle House-Panama City Beach,FL",30.264343,-85.97283,2
"Waffle House-Panama City Beach,FL",30.156839,-85.772648,2
"Waffle House-Panama City,FL",30.183199,-85.650065,2
"Waffle House-Panama City,FL",30.1624341,-85.7548108,2
"Waffle House-Panama City,FL",30.175181,-85.667218,1
"Waffle House-Pensacola,FL",30.359209,-87.362127,3
"Waffle House-Pensacola,FL",30.282046,-87.516432,8
"Waffle House-Pensacola,FL",30.532027,-87.220661,6
"Waffle House-Pensacola,FL",30.448128,-87.256636,1
"Waffle House-Pensacola,FL",30.461068,-87.300606,7
"Waffle House-Pensacola,FL",30.41722,-87.205537,7
"Waffle House-Pensacola,FL",30.436862,-87.278741,8
"Waffle House-Pensacola,FL",30.406974,-87.276646,3
"Waffle House-Pensacola,FL",30.488973,-87.196443,8
"Waffle House-Pensacola,FL",30.492801,-87.261621,4
"Waffle House-Pensacola,FL",30.502165,-87.221763,5
"Waffle House-Pensacola,FL",30.506644,-87.221607,7
"Waffle House-Pensacola,FL",30.51117,-87.270172,1
"Waffle House-Pensacola,FL",30.533094,-87.272549,3
"Waffle House-Pensacola,FL",30.520438,-87.314674,6
"Waffle House-Pensacola,FL",30.403186,-87.340084,6
"Waffle House-Plant City,FL",28.02551,-82.149833,6
"Waffle House-Port Charlotte,FL",27.017464,-82.049376,1
"Waffle House-Punta Gorda,FL",26.89338,-82.019129,7
"Waffle House-Saint Augustine,FL",30.064935,-81.495798,6
"Waffle House-Sarasota,FL",27.269281,-82.455505,3
"Waffle House-Seffner,FL",27.981648,-82.30911,5
"Waffle House-Shalimar,FL",30.439742,-86.583221,6
"Waffle House-Southwest Ranches,FL",26.061646,-80.346101,5
"Waffle House-St Petersburg Bch,FL",27.739306,-82.749711,2
"Waffle House-St Petersburg,FL",27.821193,-82.667039,4
"Waffle House-Tallahassee,FL",30.474,-84.363143,8
"Waffle House-Tallahassee,FL",30.448938,-84.315581,7
"Waffle House-Tallahassee,FL",30.483548,-84.162158,8
